  kp gain   kd gain         mean       median       min          max   % below 20
   8.0E14    8.0E15      34.0655      22.4507    0.0000     154.2631      55.2758
   8.2E14    8.2E15      33.6572      19.0852    0.0000     176.8380      62.5898
   8.5E14    8.5E15      39.0184      26.6259    0.0000     177.6726      52.5045
   8.8E14    8.8E15      37.0762      20.8087    0.0000     173.8227      62.0578
   9.0E14    9.0E15      34.6535      20.7621    0.0000     165.1591      57.4602
   9.2E14    9.2E15      31.5413      18.8360    0.0000     163.8456      65.7352
   9.5E14    9.5E15      35.3834      21.0595    0.0000     171.5884      59.3557
   9.8E14    9.8E15      32.7789      18.8514    0.0000     177.6429      61.5614
   2.5E14    2.5E15      35.2300      20.6995    0.0000     179.1696      59.7652
   5.0E14    5.0E15      35.2300      20.6995    0.0000     179.1696      59.7652
