  kp gain   kd gain         mean       median       min          max   % below 20
  3.25E04   3.25E05      57.9452      54.1994    0.0000     166.1016       9.3991
  3.50E04   3.50E05      58.8399      52.9737    0.0000     177.8892       6.3264
  3.75E04   3.75E05      64.6524      60.8093    0.0000     175.4194       8.7271
  4.00E04   4.00E05      46.9893      40.9958    0.0000     150.9786      13.4612
  4.25E04   4.25E05      49.5348      41.9966    0.0000     164.5501      16.4116
  4.50E04   4.50E05      59.2833      54.7992    0.0000     179.9035      10.8087
  4.75E04   4.75E05      52.9791      47.1522    0.0000     176.1457       8.7377
  5.00E04   5.00E05      49.6169      44.5440    0.0000     168.7391      14.2467
  5.25E04   5.25E05      45.3043      39.9592    0.0000     159.8966      14.4790
  5.50E04   5.50E05      44.7612      39.3162    0.0000     173.1686      12.6172
  5.75E04   5.75E05      42.1300      38.7105    0.0000     136.2081      20.5979
  6.00E04   6.00E05      39.6055      33.1440    0.0000     151.5006      25.4845
  6.25E04   6.25E05      41.8680      35.5310    0.0000     174.0181      19.2432
  6.50E04   6.50E05      46.5736      39.8219    0.0000     174.9328      15.5499
  6.75E04   6.75E05      41.9488      35.9025    0.0000     172.9829      20.4170
  7.00E04   7.00E05      35.0291      30.0011    0.0000     146.6119      26.9402
  7.25E04   7.25E05      45.4063      39.8865    0.0000     174.1136      14.5162
  7.50E04   7.50E05      47.2505      41.2275    0.0000     178.9713      20.6209
  7.75E04   7.75E05      44.5404      37.5911    0.0000     179.7424      20.8709
  8.00E04   8.00E05      39.3907      33.0556    0.0000     172.3943      23.9791
  8.25E04   8.25E05      35.4455      28.9497    0.0000     145.6516      33.2736
  8.50E04   8.50E05      39.4740      35.6544    0.0000     178.9207      23.0447
  8.75E04   8.75E05      41.3310      33.0730    0.0000     178.4940      23.7965
  9.00E04   9.00E05      38.1578      34.8292    0.0000     158.3203      25.1689
  9.25E04   9.25E05      30.5313      24.1266    0.0000     158.0743      42.9990
  9.50E04   9.50E05      33.0986      24.8639    0.0000     149.5547      39.7560
  9.75E04   9.75E05      34.7896      28.2328    0.0000     172.2111      36.3038
  1.00E05   1.00E06      35.8779      28.4125    0.0000     179.6753      32.4474
  1.25E05   1.25E06      28.2138      20.6922    0.0000     153.7179      53.9956
  1.50E05   1.50E06      31.7668      23.9779    0.0000     174.6733      45.3430
  1.75E05   1.75E06      28.6986      18.7954    0.0000     175.1332      53.0506
  2.00E05   2.00E06      26.2050      18.5558    0.0000     173.0233      54.1942
  2.25E05   2.25E06      21.7592      14.3354    0.0000     176.6259      71.1396
  2.50E05   2.50E06      21.8508      11.4534    0.0000     168.8651      75.4783
  2.75E05   2.75E06      21.8976      12.4742    0.0000     178.8721      68.1661
  3.00E05   3.00E06      19.0901      10.5061    0.0000     135.9889      72.2619
  3.25E05   3.25E06      24.4659      13.4612    0.0000     171.9291      67.5562
  3.50E05   3.50E06      25.4705      12.3320    0.0000     179.2902      70.1378
  3.75E05   3.75E06      21.7568       9.8910    0.0000     158.1894      72.0970
  4.00E05   4.00E06      23.8284      12.6022    0.0000     173.7004      68.9126
  4.25E05   4.25E06      19.5083       9.7022    0.0000     176.0925      80.7993
  4.50E05   4.50E06      21.5969      10.5513    0.0000     157.4572      76.7691
  4.75E05   4.75E06      19.9360       9.1446    0.0000     148.9438      79.9199
  5.00E05   5.00E06      21.4734      10.0456    0.0000     167.6576      76.9748
  5.25E05   5.25E06      16.8851       8.0135    0.0000     160.2344      84.3579
  5.50E05   5.50E06      22.6948      10.5071    0.0000     165.3982      73.9410
  5.75E05   5.75E06      20.6496       9.6381    0.0000     157.8464      77.7957
  6.00E05   6.00E06      20.7848       9.1473    0.0000     177.7373      77.9340
  6.25E05   6.25E06      21.3228      10.0670    0.0000     166.7373      75.4641
  6.50E05   6.50E06      15.4195       6.0539    0.0000     155.1613      91.1027
  6.75E05   6.75E06      22.0191       8.9415    0.0000     176.1723      78.4003
  7.00E05   7.00E06      19.3951       8.7048    0.0000     172.9066      81.6681
  7.25E05   7.25E06      22.7262       9.1733    0.0000     176.1737      77.1663
  7.50E05   7.50E06      20.6606       9.4349    0.0000     176.2379      76.9021
  7.75E05   7.75E06      19.5626       7.1440    0.0000     170.3599      81.4642
  8.00E05   8.00E06      20.3566       9.3569    0.0000     156.0604      77.2053
  8.25E05   8.25E06      19.0994       6.5802    0.0000     169.5192      82.1610
  8.50E05   8.50E06      15.9484       5.1893    0.0000     174.1951      90.1683
  8.75E05   8.75E06      21.8403       8.6159    0.0000     162.7267      75.8666
  9.00E05   9.00E06      15.1730       7.6082    0.0000     160.7950      83.6043
  9.25E05   9.25E06      18.8385       7.2723    0.0000     172.6741      82.6983
  9.50E05   9.50E06      12.6760       4.5564    0.0000     156.5568      96.3209
  9.75E05   9.75E06      16.1698       6.0090    0.0000     159.8909      90.8385
  1.00E06   1.00E07      18.0443       7.2508    0.0000     168.6992      85.1558
  1.25E06   1.25E07      15.2488       5.2257    0.0000     162.7846      87.9838
  1.50E06   1.50E07      18.9679       6.8339    0.0000     177.3143      84.8136
  1.75E06   1.75E07      15.8547       5.9265    0.0000     168.8321      85.5671
  2.00E06   2.00E07      22.7677       9.1249    0.0000     176.7836      77.0634
  2.25E06   2.25E07      16.1043       4.8662    0.0000     179.7776      90.5849
  2.50E06   2.50E07      17.4366       7.0524    0.0000     147.0849      82.5121
  2.75E06   2.75E07      16.3246       5.7657    0.0000     165.2363      90.0725
  3.00E06   3.00E07      16.3393       7.2672    0.0000     171.6007      85.4643
  3.25E06   3.25E07      19.6890       6.0701    0.0000     168.9715      79.4447
